date,registrations,low,high
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,172,172,172
2014,254,253,255
2015,357,355,358
2016,505,501,508
2017,735,729,740
2018,1286,1273,1298
2019,1992,1968,2015
2020,2940,2898,2981
2021,4719,4643,4794
2022,7773,7633,7912
2023,11713,11478,11947
2024,11787,11527,12046
2025,2637.015,2573,2700
2026,3608.7,3514,3702
2027,4938.43,4800,5076
2028,6758.138,6555,6960
2029,9248.371,8952,9544
2030,12656.2,12225,13086
2031,17319.75,16696,17943
2032,23701.72,22801,24602
2033,32435.3,31137,33732
2034,44387.04,42522,46251
2035,60742.73,58070,63415
2036,83125.16,79301,86948
2037,113755.1,108294,119215
2038,155671.4,147887,163454
2039,213033.1,201955,224110
2040,291531.3,275788,307273
2041,398954.5,376613,421295
2042,545961,514295,577626
2043,747136.2,702308,791964
2044,1022440,959048,1085831
2045,1399188,1309639,1488736
2046,1914760,1788385,2041134
2047,2620309,2442127,2798490
2048,3585838,3334829,3836846
2049,4907144,4553829,5260458
2050,6715325,6218390,7212259
